Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
A&W,Lettuce Wrapped Spicy Habanero Chicken Burger,370,243,27.0,2.0,0.0,45.0,760.0,17.0,1.0,3.0,17.0,42.0,10.0,15.0,32.0,6.0,4.0,34.0,2.0,20.0,0.0,8.0,Chicken,9.0,10.0,10.0
A&W,Nashville Hot Chicken Sandwich,590,225,25.0,4.0,0.2,65.0,1380.0,58.0,8.0,11.0,31.0,38.0,20.0,22.0,58.0,19.0,32.0,62.0,7.0,0.0,3.0,2.0,Chicken,15.0,17.0,15.0
A&W,Spicy Chipotle Chicken Wrap,270,144,16.0,3.0,0.1,28.0,640.0,24.0,2.0,0.0,10.0,25.0,15.0,9.0,27.0,8.0,8.0,20.0,2.0,0.0,8.0,15.0,Chicken,7.0,8.0,7.0
A&W,Spicy Habanero Chicken Burger,520,270,30.0,3.0,0.1,45.0,990.0,47.0,2.0,7.0,22.0,46.0,15.0,15.0,41.0,16.0,8.0,44.0,2.0,20.0,4.0,20.0,Chicken,13.0,15.0,15.0
A&W,All Canadian Special,920,468,52.0,13.5,0.0,430.0,1270.0,72.0,6.0,13.0,38.0,80.0,68.0,143.0,53.0,24.0,24.0,76.0,20.0,15.0,10.0,40.0,Breakfast,27.0,29.0,24.0
A&W,Bacon & Egger on English Muffin,380,189,21.0,8.0,0.0,215.0,620.0,29.0,1.0,1.0,18.0,32.0,40.0,72.0,26.0,10.0,4.0,36.0,20.0,0.0,25.0,20.0,Breakfast,11.0,12.0,10.0
A&W,Bacon & Egger on Sesame Seed Bun,400,207,23.0,8.0,0.0,215.0,590.0,32.0,1.0,4.0,19.0,35.0,40.0,72.0,25.0,11.0,4.0,38.0,20.0,0.0,15.0,25.0,Breakfast,12.0,13.0,11.0
A&W,Breakfast Wrap,230,108,12.0,5.0,0.0,200.0,430.0,18.0,1.0,2.0,13.0,18.0,25.0,67.0,18.0,6.0,4.0,26.0,10.0,0.0,10.0,15.0,Breakfast,6.0,7.0,6.0
A&W,Cheese & Egger on English Muffin,340,162,18.0,6.0,0.0,205.0,510.0,29.0,1.0,1.0,15.0,28.0,30.0,68.0,21.0,10.0,4.0,30.0,15.0,0.0,25.0,20.0,Breakfast,10.0,11.0,9.0
A&W,Cheese & Egger on Sesame Seed Bun,360,180,20.0,7.0,0.0,205.0,480.0,32.0,1.0,4.0,15.0,31.0,35.0,68.0,20.0,11.0,4.0,30.0,20.0,0.0,15.0,25.0,Breakfast,11.0,12.0,10.0
A&W,Classic Bacon & Eggs,550,243,27.0,9.0,0.0,400.0,820.0,43.0,4.0,2.0,30.0,42.0,45.0,133.0,34.0,14.0,16.0,60.0,20.0,0.0,10.0,35.0,Breakfast,15.0,16.0,14.0
A&W,Hash Brown,180,99,11.0,0.5,0.0,0.0,270.0,18.0,2.0,0.0,2.0,17.0,3.0,0.0,11.0,6.0,8.0,4.0,0.0,15.0,0.0,4.0,Breakfast,5.0,5.0,5.0
A&W,Pancakes with Syrup,590,153,17.0,3.0,0.0,25.0,720.0,98.0,2.0,51.0,9.0,26.0,15.0,8.0,30.0,33.0,8.0,18.0,45.0,0.0,10.0,25.0,Breakfast,24.0,24.0,16.0
