Company,Category,Item,FreeStyle Points,SmartPoints,PointsPlus
kfc,Sandwiches & Wraps,Spicy Kentucky Flatbread,7.0,9.0,8.0
kfc,Sandwiches & Wraps,Original Plant Based Sandwich,20.0,20.0,18.0
kfc,Sandwiches & Wraps,Spicy Plant Based Sandwich,21.0,21.0,19.0
kfc,Sandwiches & Wraps,Spicy Twister Wrap,16.0,17.0,15.0
kfc,Sandwiches & Wraps,Twister Wrap,14.0,15.0,14.0
kfc,Sandwiches & Wraps,Zinger Sandwich,14.0,16.0,15.0
kfc,Sandwiches & Wraps,Zinger Twister,18.0,20.0,18.0
kfc,Sides,Carolina Honey Mustard Dipping Sauce,3.0,3.0,2.0
kfc,Sides,Individual Coleslaw Salad,5.0,5.0,3.0
kfc,Sides,Medium Coleslaw Salad,10.0,10.0,8.0
kfc,Sides,Large Coleslaw Salad,19.0,19.0,14.0
kfc,Sides,Individual French Fries,9.0,9.0,8.0
kfc,Sides,Medium French Fries,25.0,25.0,23.0
kfc,Sides,Large French Fries,41.0,41.0,37.0
kfc,Sides,Extra Large French Fries,70.0,70.0,63.0
kfc,Sides,Individual Gravy,2.0,2.0,1.0
kfc,Sides,Medium Gravy,4.0,4.0,3.0
kfc,Sides,Large Gravy,7.0,7.0,6.0
kfc,Sides,5 Piece Hot Wings,10.0,10.0,10.0
kfc,Sides,10 Piece Hot Wings,20.0,20.0,20.0
kfc,Sides,20 Piece Hot Wings,41.0,41.0,40.0
kfc,Sides,Kentucky Hot Sauce,0.0,0.0,0.0
kfc,Sides,Individual Macaroni Salad,5.0,5.0,2.0
kfc,Sides,Medium Macaroni Salad,11.0,11.0,8.0
kfc,Sides,Large Macaroni Salad,22.0,22.0,17.0
kfc,Sides,Individual Mashed Potatoes,1.0,1.0,1.0
kfc,Sides,Medium Mashed Potatoes,4.0,4.0,3.0
kfc,Sides,Large Mashed Potatoes,8.0,8.0,7.0
kfc,Sides,Individual Original Recipe Corn,5.0,5.0,4.0
kfc,Sides,Medium Original Recipe Corn,16.0,16.0,12.0
kfc,Sides,Large Original Recipe Corn,25.0,25.0,19.0
kfc,Sides,Plant Based Popcorn Chicken,13.0,13.0,12.0
kfc,Sides,Individual Popcorn Chicken,5.0,5.0,5.0
kfc,Sides,Small Popcorn Chicken,8.0,10.0,10.0
kfc,Sides,Medium Popcorn Chicken,16.0,20.0,20.0
kfc,Sides,Large Popcorn Chicken,21.0,27.0,27.0
kfc,Sides,Original Popcorn Chicken Poutine,26.0,28.0,24.0
kfc,Sides,Spicy Popcorn Chicken Poutine,34.0,34.0,30.0
kfc,Sides,Individual Potato Salad,5.0,5.0,4.0
kfc,Sides,Medium Potato Salad,12.0,12.0,9.0
kfc,Sides,Large Potato Salad,25.0,25.0,19.0
kfc,Sides,Poutine,23.0,23.0,20.0
kfc,Sides,Ranch Dipping Sauce,5.0,5.0,4.0
kfc,Sides,Southern Plum Dipping Sauce,2.0,2.0,1.0
kfc,Sides,Sweet & Smoky BBQ Dipping Sauce,2.0,2.0,1.0
mcdonalds,Breakfast,Plain Bacon 'N Egg Bagel,17.0,19.0,15.0
mcdonalds,Breakfast,Multigrain Bacon 'N Egg Bagel,18.0,20.0,16.0
mcdonalds,Breakfast,Bacon 'N Egg McMuffin,8.0,10.0,8.0
mcdonalds,Breakfast,"Bacon, Egg & Cheese McGriddles",12.0,14.0,10.0
mcdonalds,Breakfast,Plain Bagel with Butter,10.0,10.0,8.0
mcdonalds,Breakfast,Cinnamon & Raisin Bagel with Butter,11.0,11.0,8.0
mcdonalds,Breakfast,Everything Bagel with Butter,10.0,10.0,8.0
mcdonalds,Breakfast,Multigrain Bagel with Butter,11.0,11.0,9.0
mcdonalds,Breakfast,Sesame Bagel with Butter,11.0,11.0,8.0
mcdonalds,Breakfast,Plain Bagel with Cream Cheese,13.0,13.0,10.0
mcdonalds,Breakfast,Cinnamon & Raisin Bagel with Cream Cheese,14.0,14.0,10.0
mcdonalds,Breakfast,Everything Bagel with Cream Cheese,13.0,13.0,10.0
